,AKAZE-BRISK-BF-RANSAC,AKAZE-FREAK-BF-RANSAC,AKAZE-SIFT-BF KNN-RANSAC,AKAZE-SIFT-BF KNN-USAC,AKAZE-SIFT-BF-USAC,SIFT-SIFT-BF KNN-USAC,auto,h_sp_sg
carmel,14.1704,13.5133,13.8985,13.9516,13.5436,13.9903,14.00755,13.4065
diamondhead,35.3526,33.8112,35.9373,33.3926,34.2728,35.0529,35.78435,34.1351
fishbowl,35.6757,37.6762,35.4702,35.8566,35.8822,35.7496,34.86675,35.1379
goldengate,9.6976,9.436,10.1651,10.0129,9.705,10.1972,10.8341,10.0518
halfdome,37.7776,37.9612,37.6319,37.6444,37.8567,37.5281,N/A,38.3476
hotel,33.5388,33.7752,33.7594,33.4737,33.4592,33.5886,N/A,33.9316
office,7.1497,7.0823,7.0684,7.1479,7.123,7.1466,7.30265,7.188
rio,23.9532,24.8442,24.632,23.624,24.6714,23.6842,20.63215,24.849
shanghai,38.1772,36.3258,38.0814,36.4088,38.3511,38.2454,N/A,38.9728
yard,16.3058,20.7418,17.3642,23.2732,20.4258,21.5397,23.59475,15.8956
Mean,25.1798,25.5167,25.4008,25.4786,25.5291,25.6722,21.00318571,25.1916
