,AKAZE-FREAK-BF-RANSAC,AKAZE-FREAK-BF-RANSAC-cropped,AKAZE-BRISK-BF-RANSAC,AKAZE-BRISK-BF-RANSAC-cropped,AKAZE-SIFT-BF KNN-RANSAC,AKAZE-SIFT-BF KNN-RANSAC-cropped,AKAZE-SIFT-BF KNN-USAC,AKAZE-SIFT-BF KNN-USAC-cropped,AKAZE-SIFT-BF-USAC,AKAZE-SIFT-BF-USAC-cropped,SIFT-SIFT-BF KNN-USAC,SIFT-SIFT-BF KNN-USAC-cropped,apap,apap-cropped,auto,auto-cropped,apap_sp_sg,apap_sp_sg-cropped,h_sp_sg,h_sp_sg-cropped,Subset
0,13.5181,13.5085,14.5338,13.8069,13.9161,13.8809,14.0551,13.8482,13.5553,13.5319,13.9589,14.0217,13.7592,13.2354,14.408,13.6071,14.1517,12.9536,13.3716,13.4414,carmel
1,34.4834,33.1391,37.9587,32.7464,37.4414,34.4332,33.6245,33.1607,35.1133,33.4322,35.4392,34.6666,,,36.6527,34.916,33.3823,33.3137,35.596,32.6742,diamondhead
2,39.3272,36.0253,35.6689,35.6824,35.2242,35.7162,35.6575,36.0556,35.5764,36.1881,35.5981,35.901,38.4522,35.6508,33.3367,36.3968,40.0767,35.6156,34.4687,35.8071,fishbowl
3,8.3984,10.4735,8.7007,10.6944,9.2739,11.0563,8.6084,11.4174,8.5224,10.8875,9.4105,10.9839,8.4662,9.9394,10.0099,11.6583,12.0481,10.7566,10.734,9.3695,goldengate
4,37.9572,37.9653,37.5984,37.9567,37.1082,38.1556,37.2943,37.9946,37.9281,37.7853,37.0318,38.0245,34.9284,37.9435,,,37.3057,38.1159,38.8162,37.879,halfdome
5,33.4141,34.1364,33.1883,33.8894,33.5646,33.9543,32.9819,33.9654,33.3759,33.5425,33.0874,34.0897,32.3925,34.0201,,,32.428,34.433,33.4395,34.4237,hotel
6,7.0698,7.0948,7.2033,7.0962,7.0714,7.0653,7.2091,7.0867,7.1675,7.0785,7.2001,7.093,,,7.3017,7.3036,,,7.268,7.1081,office
7,26.7841,22.9043,25.2869,22.6196,26.8908,22.3733,24.9478,22.3003,26.8127,22.53,25.2619,22.1064,24.8374,21.7881,20.0641,21.2002,27.1455,23.3926,26.4123,23.2858,rio
8,35.2389,37.4127,35.4103,40.944,35.3019,40.8609,34.5623,38.2554,35.6944,41.0078,35.579,40.9118,,,,,36.1465,41.6882,35.6766,42.2691,shanghai
9,25.6626,15.8209,16.2758,16.3358,17.3642,,30.7351,15.8112,25.0816,15.7701,27.3456,15.7338,,,23.3607,23.8288,,,15.3252,16.4659,yard
