,AKAZE-FREAK-BF-RANSAC,AKAZE-BRISK-BF-RANSAC,AKAZE-SIFT-BF KNN-RANSAC,AKAZE-SIFT-BF KNN-USAC,AKAZE-SIFT-BF-USAC,SIFT-SIFT-BF KNN-USAC,auto,h_sp_sg
carmel,42.9152,47.0638,45.3674,45.6845,43.1288,46.0008,45.45692464,45.6715
diamondhead,37.5887,47.935,53.0764,35.6167,46.5592,48.1728,43.427,39.8858
fishbowl,51.4785,39.8645,38.5032,41.0588,41.2322,40.3728,32.61239235,36.5349
goldengate,40.2531,42.0075,45.0011,43.8059,41.968,45.2455,48.33656006,45.3095
halfdome,50.3246,49.2423,48.3514,48.4315,49.6981,47.7335,N/A,52.5368
hotel,29.5208,27.8601,29.8145,27.0243,26.9349,28.2842,N/A,32.1737
office,22.0709,22.7161,21.8899,22.6847,22.4695,22.651,22.08793167,23.0807
rio,66.0005,61.678,64.7609,59.9435,65.0279,60.1702,42.74713888,65.9046
shanghai,43.2754,53.3062,52.8126,43.2716,54.3439,53.8294,N/A,57.6168
yard,20.7165,24.1904,20.9561,21.0915,20.8896,20.7584,62.76955,21.0319
Mean,40.4144,41.5864,42.0533,38.8613,41.2252,41.3219,42.49107108,41.9746
