,f2,f3,f4,f5,f6,f7,f8
0,-5.515027261,0.621661946,-1.744059601,0.1875,0.183964374,0.00390625,0.010276402
1,-0.556797137,3.262687684,-1.875978709,0.1875,0.183964374,0.00390625,0.010276402
2,-0.618607313,3.322211305,-1.869524766,0.1875,0.183964374,0.00390625,0.010276402
3,-0.631474448,3.316547833,-1.856165315,0.1875,0.183964374,0.00390625,0.010276402
4,-4.014016276,1.157532643,-2.734705563,0.1875,0.183964374,0.00390625,0.010276402
5,,,,,,,
6,-6.071678285,0.424873497,-1.169651311,0.1875,0.183964374,0.00390625,0.010276402
7,-0.586714655,3.240020609,-1.925318007,0.1875,0.183964374,0.00390625,0.010276402
8,-5.445226939,0.621586191,-1.712676699,0.1875,0.183964374,0.00390625,0.010276402
9,-0.60792539,3.217739825,-1.935352594,0.1875,0.183964374,0.00390625,0.010276402
10,-5.716113394,0.546238323,-1.523362505,0.1875,0.183964374,0.00390625,0.010276402
11,-0.61320573,3.203754444,-1.950943541,0.1875,0.183964374,0.00390625,0.010276402
12,,,,,,,
13,,,,,,,
14,-0.187444182,4.000192124,-2.585021116,0.1875,0.183964374,0.00390625,0.010276402
15,-0.119682085,4.183036396,-1.95764105,0.1875,0.183964374,0.00390625,0.010276402
16,,,,,,,
17,,,,,,,
18,-1.7080610689171127,2.296273793888292,-4.530110677035597,0.1875,0.2683822673221703,0.00390625,0.0316914183307424
19,-0.2100846281853945,3.29550726390298,-2.7419293970533283,0.1875,0.2683822673221703,0.00390625,0.0316914183307424
